"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Guinea","Import","Crustaceans","2","","4","","1","","0","-","0","-","0","-","0","-","0","-","0","-","6","F","1","F","7","F","19","F","13","","11","","2",""
"Guinea","Import","Fish","291","","1164","","862","","1408","","514","","613","","314","","606","","917","","1591","F","1901","F","1995","F","2520","F","2458","","2161","","1982",""
"Guinea-Bissau","Export","Crustaceans","204","F","443","F","553","F","748","F","362","F","480","F","234","F","0","-","0","-","0","-","0","-","0","-","1","F","0","-","0","-","0","-"
"Guinea-Bissau","Export","Fish","1876","F","1990","F","3240","F","1784","F","2487","F","3021","F","2986","F","2883","F","2232","F","2059","F","3438","F","2681","F","2229","F","3102","F","3960","F","4748","F"
"Guinea-Bissau","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","64","F","79","F","0","-","0","-","0","-","0","-","0","-","3","F","6","F","3","F"
"Guinea-Bissau","Import","Fish","283","F","155","F","138","F","229","F","282","","404","F","321","F","1373","F","1684","F","1456","F","708","F","1246","F","1210","F","1263","F","918","F","774","F"
"Kenya","Export","Crustaceans","1268","","2411","","1327","","3961","","2808","","2464","","2297","","1131","","1626","","295","","339","","625","","285","","460","","1229","","818",""
"Kenya","Export","Fish","36839","","46283","","53599","","50950","","48472","","56596","","51539","","58776","","71672","","55001","","61135","","50666","","59811","","37098","","44789","","30232",""
"Kenya","Import","Crustaceans","11","","16","","103","","105","","57","","30","","14","","4","","0","-","59","","43","","168","","450","","663","","732","","722",""
"Kenya","Import","Fish","4096","","4851","","2194","","2596","","3819","","5891","","5979","","8313","","5790","","6325","","7530","","11258","","11398","","14427","","20885","","18718",""
